PARTY,UCC,SYMBOL,SETCOD,TYP,TOTSALE,DELVSALE,EPI,SALEPENDING,TOTBUY,DELVBUY,SALEVAL,BUYVAL,NETVAL,AVGRATE,NATURE,MINMARGIN
EIH0005,EIH0005,HCC,N2022147  ,EQ,0,0,0,0,25,25,0,331.25,-331.25,13.25,R,66.25
EIH0005,EIH0005,ONGC,N2022147  ,EQ,0,0,0,0,6,6,0,813,-813,135.50,R,162.60
EIH0005,EIH0005,TATAPOWER,N2022148  ,EQ,0,0,0,0,4,4,0,926.6,-926.60,231.65,R,185.32
EIH0005,EIH0005,TATAPOWER,N2022147  ,EQ,0,0,0,0,6,6,0,1398,-1398,233,R,279.60
EIH0017,EIH0017,HDFC,N2022147  ,EQ,100,100,100,0,0,0,235575,0,235575,0,R,0
EIH0017,EIH0017,HCLTECH,N2022148  ,EQ,0,0,0,0,400,400,0,386207.55,-386207.55,965.52,R,77241.51
EIH0035,EIH0035,TATAELXSI,N2022147  ,EQ,1,1,1,0,0,0,8784.9,0,8784.90,0,R,0
EIH0035,EIH0035,PIDILITIND,N2022147  ,EQ,1,1,1,0,0,0,2501.85,0,2501.85,0,R,0
EIH0035,EIH0035,HCLTECH,N2022148  ,EQ,0,0,0,0,10,10,0,9648,-9648,964.80,R,1929.60
EIH0037,EIH0037,HCLTECH,N2022148  ,EQ,0,0,0,0,100,100,0,96468.35,-96468.35,964.68,R,19293.67
EIH0043,EIH0043,INDUSINDBK,N2022148  ,EQ,200,200,0,200,0,0,213080,0,213080,1065.40,R,42616
EII0005,EII0005,TATASTEEL,N2022148  ,EQ,0,0,0,0,50,50,0,5450,-5450,109,R,1090
EIN0016,EIN0016,INFY,N2022147  ,EQ,5,5,5,0,0,0,7798,0,7798,0,R,0
EIN0027,EIN0027,LICI,N2022148  ,EQ,0,0,0,0,4,4,0,2695.8,-2695.80,673.95,R,539.16
EIN0027,EIN0027,BHARTIARTL,N2022148  ,EQ,0,0,0,0,5,5,0,3477,-3477,695.40,R,695.40
EIP0003,EIP0003,ORIENTHOT,N2022147  ,EQ,1000,1000,1000,0,0,0,67900,0,67900,0,R,0
EIP0003,EIP0003,ORIENTHOT,N2022148  ,EQ,3000,3000,0,3000,0,0,208250,0,208250,69.42,R,41650
EIP0005,EIP0005,GRSE,N2022147  ,EQ,0,0,0,0,4151,4151,0,1058341.15,-1058341.15,254.96,R,211668.23
EIP0005,EIP0005,BRIGADE,N2022147  ,EQ,524,524,524,0,0,0,268197.4,0,268197.40,0,R,0
EIP0005,EIP0005,JKTYRE,N2022147  ,EQ,1000,1000,1000,0,0,0,133900,0,133900,0,R,0
EIP0005,EIP0005,SHARDACROP,N2022147  ,EQ,0,0,0,0,1000,1000,0,535050,-535050,535.05,R,107010
EIP0006,EIP0006,GABRIEL,N2022148  ,EQ,3900,3900,0,3900,0,0,551310,0,551310,141.36,R,110262
EIP0006,EIP0006,THERMAX,N2022147  ,EQ,0,0,0,0,700,700,0,1405143.05,-1405143.05,2007.35,R,281028.61
EIP0006,EIP0006,PARADEEP,N2022147  ,EQ,18000,18000,18000,0,0,0,893735.4,0,893735.40,0,R,0
EIP0006,EIP0006,BRIGADE,N2022147  ,EQ,3000,3000,3000,0,0,0,1546116.2,0,1546116.20,0,R,0
EIP0006,EIP0006,ANDHRAPAP,N2022148  ,EQ,0,0,0,0,5000,5000,0,1950000,-1950000,390,R,390000
EIP0006,EIP0006,BECTORFOOD,N2022148  ,EQ,200,200,0,200,0,0,65520,0,65520,327.60,R,13104
EIP0007,EIP0007,POWERINDIA,N2022148  ,EQ,100,100,0,100,0,0,344900,0,344900,3449,R,68980
EIP0007,EIP0007,NUVOCO,N2022147  ,EQ,2000,2000,2000,0,0,0,695800,0,695800,0,R,0
EIP0007,EIP0007,LEMONTREE,N2022148  ,EQ,5000,5000,0,5000,0,0,339750,0,339750,67.95,R,67950
EIP0007,EIP0007,INEOSSTYRO,N2022147  ,EQ,0,0,0,0,1000,1000,0,811999.85,-811999.85,812,R,162399.97
EIP0007,EIP0007,SCHAEFFLER,N2022147  ,EQ,100,100,100,0,0,0,283800,0,283800,0,R,0
EIP0007,EIP0007,SPAL,N2022147  ,EQ,500,500,500,0,0,0,206906.75,0,206906.75,0,R,0
EIP0007,EIP0007,LEMONTREE,N2022147  ,EQ,0,0,0,0,10000,10000,0,652450,-652450,65.25,R,130490
EIP0007,EIP0007,TAJGVK,N2022147  ,EQ,1500,1500,1500,0,0,0,246928.2,0,246928.20,0,R,0
EIP0007,EIP0007,PARADEEP,N2022147  ,EQ,20000,20000,20000,0,0,0,986500,0,986500,0,R,0
EIP0007,EIP0007,GOKEX,N2022147  ,EQ,0,0,0,0,1000,1000,0,336232,-336232,336.23,R,67246.40
EIP0007,EIP0007,LODHA,N2022148  ,EQ,600,0,0,0,3500,2900,625181.1,3578586.9,-2953405.80,1018.42,R,590681.16
EIP0007,EIP0007,ZOMATO,N2022147  ,EQ,0,0,0,0,10000,10000,0,525000,-525000,52.50,R,105000
EIP0008,EIP0008,RPGLIFE,N2022147  ,EQ,500,500,500,0,0,0,341012.25,0,341012.25,0,R,0
EIP0008,EIP0008,BOROLTD,N2022147  ,EQ,0,0,0,0,1000,1000,0,337050,-337050,337.05,R,67410
EIP0008,EIP0008,CARBORUNIV,N2022147  ,EQ,100,100,100,0,0,0,86990,0,86990,0,R,0
EIP0008,EIP0008,BOROLTD,N2022148  ,EQ,1000,1000,0,1000,0,0,377059.95,0,377059.95,377.06,R,75411.99
EIP0008,EIP0008,IIFL,N2022147  ,EQ,0,0,0,0,552,552,0,180531.6,-180531.60,327.05,R,36106.32
EIP0008,EIP0008,HERANBA,N2022147  ,EQ,522,522,522,0,0,0,323587.8,0,323587.80,0,R,0
EIP0008,EIP0008,PARADEEP,N2022148  ,EQ,0,0,0,0,4000,4000,0,201000,-201000,50.25,R,40200
EIP0008,EIP0008,LAOPALA,N2022148  ,EQ,0,0,0,0,1335,1335,0,397900.5,-397900.50,298.05,R,79580.10
EIP0010,EIP0010,INEOSSTYRO,N2022147  ,EQ,0,0,0,0,1800,1800,0,1470797.1,-1470797.10,817.11,R,294159.42
EIS0009,EIS0009,SUBEXLTD,N2022148  ,EQ,600,600,0,600,0,0,23970,0,23970,39.95,R,4794
EIU0010,EIU0010,IEX,N2022147  ,EQ,0,0,0,0,200,200,0,33440,-33440,167.20,R,6688
EIU0010,EIU0010,RUBYMILLS,N2022148  ,EQ,100,100,0,100,0,0,45475.05,0,45475.05,454.75,R,9095.01
EIU0010,EIU0010,GREENPLY,N2022147  ,EQ,0,0,0,0,200,200,0,37990,-37990,189.95,R,7598
EIU0010,EIU0010,FEDERALBNK,N2022148  ,EQ,150,150,0,150,0,0,16305,0,16305,108.70,R,3261
EIY0006,EIY0006,ZEEL,N2022147  ,EQ,0,0,0,0,25,25,0,6043.75,-6043.75,241.75,R,1208.75
EIY0006,EIY0006,STLTECH,N2022148  ,EQ,50,50,0,50,0,0,7677.5,0,7677.50,153.55,R,1535.50
EIY0006,EIY0006,CANBK,N2022148  ,EQ,0,0,0,0,25,25,0,5687.5,-5687.50,227.50,R,1137.50
EIY0030,EIY0030,TATAPOWER,N2022147  ,EQ,200,200,200,0,0,0,46910,0,46910,0,R,0
EIY0030,EIY0030,TATAPOWER,N2022148  ,EQ,0,0,0,0,50,50,0,11355,-11355,227.10,R,2271
EIY0044,EIY0044,ITC,N2022147  ,EQ,0,0,0,0,50,50,0,15300,-15300,306,R,3060
EIY0044,EIY0044,COALINDIA,N2022147  ,EQ,0,0,0,0,100,100,0,21050,-21050,210.50,R,4210
EIY0045,EIY0045,DLF,N2022148  ,EQ,2,2,0,2,0,0,742.1,0,742.10,371.05,R,148.42
EIY0048,EIY0048,IDFCFIRSTB,N2022148  ,EQ,0,0,0,0,500,500,0,21900,-21900,43.80,R,4380
EJE0003,EJE0003,IOC,N2022148  ,EQ,0,0,0,0,1000,1000,0,71000,-71000,71,R,14200
EJE0003,EJE0003,TATASTEEL,N2022148  ,EQ,500,500,0,500,0,0,53650,0,53650,107.30,R,10730
EJE0005,EJE0005,ZOMATO,N2022148  ,EQ,50,50,0,50,0,0,2847.5,0,2847.50,56.95,R,569.50
EJE0007,EJE0007,LAOPALA,N2022147  ,EQ,0,0,0,0,45,45,0,13320,-13320,296,R,2664
