msgId,requestType,curDate,seg,cmCode,tmCode,cpCode,cliCode,accType,amt,action,RespStatus,RespMessagesCode,RespFeildMsg,RespValidationMsg,CreateDateTime
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CM228          ,C,2141.37,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CS921          ,C,4977.03,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CTH            ,C,2296.01,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAA0399        ,C,2302.49,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CRM2           ,C,882.685,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CKLS           ,C,10716.96,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0019        ,C,28874.865,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAKO           ,C,910.46,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CA129          ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CB205          ,C,77844.65,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CB348          ,C,5590.06,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CMN            ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CMLA           ,C,3722.04,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CN113          ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CRS1           ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CR530          ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,RR16           ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CR342          ,C,424.75,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CS1060         ,C,1073.39,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CS1095         ,C,2132.025,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CS1217         ,C,34979.53,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CS132          ,C,13174.46,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CVKR           ,C,3.39,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0663        ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0665        ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0666        ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0691        ,C,66.32,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0699        ,C,975,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CF28           ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0773        ,C,9452.625,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0781        ,C,364077.28,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CLKB           ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0886        ,C,3261.06,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0888        ,C,55823.815,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0942        ,C,20879.39,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD0992        ,C,8512.64,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD1024        ,C,71307.66,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
07714202206152086850,I,15-Jun-2022,CM,07714,07714,,CAD1041        ,C,0,U,ERROR,01010212,,Service Unavailable/ Timing window over,15-06-2022 6.02.43 PM
