msgId,requestType,curDate,seg,cmCode,tmCode,cpCode,cliCode,accType,amt,action,RespStatus,RespMessagesCode,RespFeildMsg,RespValidationMsg,CreateDateTime,Source
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CTH            ,C,2247.47,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CN300          ,C,17351.72,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAA0302        ,C,146044.41,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAA0379        ,C,387.7,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAA0402        ,C,322.31,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAA0435        ,C,2555.89,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CS675          ,C,37443.9,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CSP            ,C,23738.96,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAB0137        ,C,3265.875,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0017        ,C,12516.11,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0019        ,C,36444.435,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CKES           ,C,10110.17,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CP407          ,C,13058.5,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CS1060         ,C,1075.225,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CS1217         ,C,47178.06,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CS65           ,C,7521.52,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0781        ,C,285114.51,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CLKB           ,C,1272.17,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0885        ,C,5124.43,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0888        ,C,88374.19,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0942        ,C,10474.61,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0992        ,C,3708.705,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD0998        ,C,240.41,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1171        ,C,5896.65,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1182        ,C,981.69,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1206        ,C,1032395.51,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1210        ,C,4912.115,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1235        ,C,64720.98,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1325        ,C,248.99,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1531        ,C,4614.93,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1741        ,C,32350,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1768        ,C,1909901.23,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1773        ,C,9546.485,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1779        ,C,307.555,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1780        ,C,8568.65,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1911        ,C,761.81,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1966        ,C,87389.27,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD1976        ,C,38180.77,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2077        ,C,100730.605,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2094        ,C,2788.17,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2148        ,C,10000,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2162        ,C,71820.52,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2208        ,C,51724.68,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2324        ,C,3146.25,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2405        ,C,25933.16,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2427        ,C,2885.31,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
07714202207041153092,I,04-Jul-2022,CM,07714,07714,,CAD2466        ,C,48650.87,U,SUCCESS,01010000,,Submitted to server successfully,04-07-2022 3.36.23 PM,Focus
