Date,CM Code,CM Name,CP Code,TM Code,TM Name,End Client,Allocation at BOD,Allocations during the Day,Deallocation during the Day,Allocation at EOD,OWN Collateral at BOD,OWN Collateral added during Day,OWN Collateral reduced during Day,OWN Collateral at EOD,OWN Others Collateral at BOD,OWN Others Collateral added during Day,OWN Others Collateral reduced during Day,OWN Others Collateral at EOD,Total Collateral at EOD,Eligible Collateral at EOD,Margin Utilisation
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3997        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3998        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10858.04
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3464        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893.76
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD1325        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128156.88
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD2094        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39329.63
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4117        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4639918.26
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4135        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6554.94
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CEI0079        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54728.35
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CDB0445        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226873.75
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CEA0074        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20033.78
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD4155        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140519.39
04-08-2022 12.00.00 AM,8200,SMC,,10515,SMC,CAD3754        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4560.87
